stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\meus programas\jogo final\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.76614] added dtor for sub_bitmap 0000000002776380, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76620] added dtor for sub_bitmap 0000000002776540, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76629] added dtor for sub_bitmap 0000000002778af0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76634] added dtor for sub_bitmap 00000000027785b0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76642] added dtor for sub_bitmap 00000000027783f0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76650] added dtor for sub_bitmap 0000000002777cf0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76656] added dtor for sub_bitmap 0000000002777b30, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76661] added dtor for sub_bitmap 0000000002778cb0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76669] added dtor for sub_bitmap 0000000002778e70, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76675] added dtor for sub_bitmap 00000000027777b0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76680] added dtor for sub_bitmap 0000000002777eb0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76685] added dtor for sub_bitmap 0000000002778230, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76690] added dtor for sub_bitmap 0000000002778770, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76696] added dtor for sub_bitmap 0000000002779570, func 00007ffd72151bf8
